,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
0,0.777,0.577,0,-5.595,1,0.0556,0.137,0.888,0.251,0.392,95.018,audio_features,72fuu9qDb0xXCH9vIaeJGa,spotify:track:72fuu9qDb0xXCH9vIaeJGa,https://api.spotify.com/v1/tracks/72fuu9qDb0xXCH9vIaeJGa,https://api.spotify.com/v1/audio-analysis/72fuu9qDb0xXCH9vIaeJGa,192000,4,ford.,Slack,(The) Evening,45
1,0.383,0.765,6,-7.295,1,0.0539,0.00371,6.08e-05,0.101,0.16,177.89,audio_features,1nzLNeyk835Q9h1zPS4gr9,spotify:track:1nzLNeyk835Q9h1zPS4gr9,https://api.spotify.com/v1/tracks/1nzLNeyk835Q9h1zPS4gr9,https://api.spotify.com/v1/audio-analysis/1nzLNeyk835Q9h1zPS4gr9,231910,4,ODESZA,Across The Room - Tycho Remix,Across The Room Remixes,54
2,0.683,0.485,7,-7.353,1,0.0715,0.598,0.132,0.117,0.674,81.743,audio_features,2tUqgzXUa4tqj2fRdPVtFX,spotify:track:2tUqgzXUa4tqj2fRdPVtFX,https://api.spotify.com/v1/tracks/2tUqgzXUa4tqj2fRdPVtFX,https://api.spotify.com/v1/audio-analysis/2tUqgzXUa4tqj2fRdPVtFX,160680,3,Baird,BITE,"BIRDSONGS, Vol. 2",14
3,0.807,0.395,1,-10.895,0,0.168,0.438,0.0,0.426,0.492,118.011,audio_features,6FTtegrz3J1fyhI1GKl4W2,spotify:track:6FTtegrz3J1fyhI1GKl4W2,https://api.spotify.com/v1/tracks/6FTtegrz3J1fyhI1GKl4W2,https://api.spotify.com/v1/audio-analysis/6FTtegrz3J1fyhI1GKl4W2,198444,4,AKA Block,3 Words,3 Words,47
4,0.857,0.486,10,-8.107,1,0.274,0.336,0.0,0.433,0.767,131.944,audio_features,7xlv2NG7uJhBce2ENwkIx0,spotify:track:7xlv2NG7uJhBce2ENwkIx0,https://api.spotify.com/v1/tracks/7xlv2NG7uJhBce2ENwkIx0,https://api.spotify.com/v1/audio-analysis/7xlv2NG7uJhBce2ENwkIx0,145355,4,Harris Rudman,Blisters,Missing Document,38
5,0.767,0.858,5,-2.716,0,0.0636,0.00135,3.04e-05,0.188,0.634,118.979,audio_features,3mvwfSbI3vM5mu7D9RDfFh,spotify:track:3mvwfSbI3vM5mu7D9RDfFh,https://api.spotify.com/v1/tracks/3mvwfSbI3vM5mu7D9RDfFh,https://api.spotify.com/v1/audio-analysis/3mvwfSbI3vM5mu7D9RDfFh,189075,4,Louis The Child,Self Care (with COIN),Self Care (with COIN),62
6,0.506,0.412,7,-5.64,1,0.137,0.667,0.0,0.0983,0.195,173.115,audio_features,0qynxleiY0wavOijAW9trC,spotify:track:0qynxleiY0wavOijAW9trC,https://api.spotify.com/v1/tracks/0qynxleiY0wavOijAW9trC,https://api.spotify.com/v1/audio-analysis/0qynxleiY0wavOijAW9trC,192827,3,Jessie Reyez,"Figures, a Reprise","Figures, a Reprise",58
7,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,audio_features,2hwOoMtWPtTSSn6WHV7Vp5,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/tracks/2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/audio-analysis/2hwOoMtWPtTSSn6WHV7Vp5,209440,4,Mac Miller,Blue World,Circles,75
8,0.429,0.337,4,-8.405,1,0.0357,0.83,0.00165,0.124,0.166,154.649,audio_features,7749bzxCJXbVHGIZxnOPSg,spotify:track:7749bzxCJXbVHGIZxnOPSg,https://api.spotify.com/v1/tracks/7749bzxCJXbVHGIZxnOPSg,https://api.spotify.com/v1/audio-analysis/7749bzxCJXbVHGIZxnOPSg,371292,4,Briston Maroney,Rose,Carnival,48
9,0.395,0.332,4,-10.928,0,0.0404,0.854,0.0,0.179,0.189,115.722,audio_features,28QDpkxCdg9DPNAkQsf0dI,spotify:track:28QDpkxCdg9DPNAkQsf0dI,https://api.spotify.com/v1/tracks/28QDpkxCdg9DPNAkQsf0dI,https://api.spotify.com/v1/audio-analysis/28QDpkxCdg9DPNAkQsf0dI,156495,4,Tash Sultana,Seed (Intro),Flow State,43
10,0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,audio_features,3QcuZo6WLcFkqqLmDs0d95,spotify:track:3QcuZo6WLcFkqqLmDs0d95,https://api.spotify.com/v1/tracks/3QcuZo6WLcFkqqLmDs0d95,https://api.spotify.com/v1/audio-analysis/3QcuZo6WLcFkqqLmDs0d95,199907,4,Jackson Browne,Doctor My Eyes,Jackson Browne (Saturate Before Using),68
11,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,608xszaAxVh4m7NcKJiAbF,spotify:track:608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/tracks/608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/audio-analysis/608xszaAxVh4m7NcKJiAbF,291686,4,Eagles,One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),70
12,0.681,0.454,7,-9.097,0,0.0564,0.103,5.53e-06,0.0981,0.684,60.955,audio_features,2pmhFZ2r4ZwIWjzCcf6cpT,spotify:track:2pmhFZ2r4ZwIWjzCcf6cpT,https://api.spotify.com/v1/tracks/2pmhFZ2r4ZwIWjzCcf6cpT,https://api.spotify.com/v1/audio-analysis/2pmhFZ2r4ZwIWjzCcf6cpT,221910,4,Scary Pockets,Don't You Want Me,Ups & Downs,42
13,0.268,0.829,7,-5.17,1,0.101,0.00107,0.0,0.157,0.351,199.886,audio_features,4kDgnKgZTX6puRz9EoNjle,spotify:track:4kDgnKgZTX6puRz9EoNjle,https://api.spotify.com/v1/tracks/4kDgnKgZTX6puRz9EoNjle,https://api.spotify.com/v1/audio-analysis/4kDgnKgZTX6puRz9EoNjle,165967,4,Machine Gun Kelly,title track,Tickets To My Downfall,73
14,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,audio_features,2pIAlUHOhM9ijF4kJr7ZNY,spotify:track:2pIAlUHOhM9ijF4kJr7ZNY,https://api.spotify.com/v1/tracks/2pIAlUHOhM9ijF4kJr7ZNY,https://api.spotify.com/v1/audio-analysis/2pIAlUHOhM9ijF4kJr7ZNY,139461,4,Machine Gun Kelly,my ex's best friend (with blackbear),Tickets To My Downfall (SOLD OUT Deluxe),67
15,0.706,0.483,1,-7.929,1,0.0393,0.547,1.94e-06,0.136,0.663,92.002,audio_features,2x5Frs6ts14U4MSLrQQlXg,spotify:track:2x5Frs6ts14U4MSLrQQlXg,https://api.spotify.com/v1/tracks/2x5Frs6ts14U4MSLrQQlXg,https://api.spotify.com/v1/audio-analysis/2x5Frs6ts14U4MSLrQQlXg,331827,4,Phony Ppl,Why iii Love The Moon.,Yesterday's Tomorrow,63
16,0.596,0.678,9,-5.18,1,0.0335,0.0199,0.004,0.418,0.259,117.066,audio_features,79MSEdtXuudhGhC5AtG07g,spotify:track:79MSEdtXuudhGhC5AtG07g,https://api.spotify.com/v1/tracks/79MSEdtXuudhGhC5AtG07g,https://api.spotify.com/v1/audio-analysis/79MSEdtXuudhGhC5AtG07g,99213,4,PARTYNEXTDOOR,Break from Toronto,PARTYNEXTDOOR,75
17,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,audio_features,0MF5QHFzTUM2dYm6J7Vngt,spotify:track:0MF5QHFzTUM2dYm6J7Vngt,https://api.spotify.com/v1/tracks/0MF5QHFzTUM2dYm6J7Vngt,https://api.spotify.com/v1/audio-analysis/0MF5QHFzTUM2dYm6J7Vngt,216880,3,Ricky Montgomery,Mr Loverman,Montgomery Ricky,79
18,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,audio_features,5CalS8Gn69OOrR9aiw0ZO9,spotify:track:5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/tracks/5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/audio-analysis/5CalS8Gn69OOrR9aiw0ZO9,196055,4,The Head and the Heart,Honeybee,Living Mirage,74
19,0.82,0.564,11,-5.497,1,0.0397,0.236,0.0,0.112,0.704,119.985,audio_features,1mupwOlwPPnX76edNnu2H1,spotify:track:1mupwOlwPPnX76edNnu2H1,https://api.spotify.com/v1/tracks/1mupwOlwPPnX76edNnu2H1,https://api.spotify.com/v1/audio-analysis/1mupwOlwPPnX76edNnu2H1,236808,4,Lime Cordiale,Waking Up Easy,Waking Up Easy,59
20,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,audio_features,1boXOL0ua7N2iCOUVI1p9F,spotify:track:1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/tracks/1boXOL0ua7N2iCOUVI1p9F,https://api.spotify.com/v1/audio-analysis/1boXOL0ua7N2iCOUVI1p9F,270847,3,Daniel Caesar,Japanese Denim,Get You - Single,75
21,0.776,0.626,6,-7.422,1,0.0331,0.0903,0.000137,0.0331,0.779,98.967,audio_features,2yERNlJ9hTqKNPtcfPvaCZ,spotify:track:2yERNlJ9hTqKNPtcfPvaCZ,https://api.spotify.com/v1/tracks/2yERNlJ9hTqKNPtcfPvaCZ,https://api.spotify.com/v1/audio-analysis/2yERNlJ9hTqKNPtcfPvaCZ,179191,4,Great Gable,All Day Long,Modern Interactions,44
22,0.804,0.5,0,-9.462,1,0.0657,0.535,0.000817,0.232,0.534,110.058,audio_features,63fj7dR4QGRHDHKZStUuAY,spotify:track:63fj7dR4QGRHDHKZStUuAY,https://api.spotify.com/v1/tracks/63fj7dR4QGRHDHKZStUuAY,https://api.spotify.com/v1/audio-analysis/63fj7dR4QGRHDHKZStUuAY,252893,4,Milky Chance,Bad Things,Blossom (Deluxe),49
23,0.944,0.514,5,-7.895,1,0.195,0.0684,0.00209,0.103,0.331,120.004,audio_features,5MChi9fdCbTIWDJPPUuuW6,spotify:track:5MChi9fdCbTIWDJPPUuuW6,https://api.spotify.com/v1/tracks/5MChi9fdCbTIWDJPPUuuW6,https://api.spotify.com/v1/audio-analysis/5MChi9fdCbTIWDJPPUuuW6,276785,4,Tom Misch,Beautiful Escape,Beat Tape 2,65
24,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093,4,Justin Bieber,Holy (feat. Chance The Rapper),Holy,95
25,0.849,0.362,2,-8.585,1,0.41,0.519,1.62e-05,0.233,0.419,81.143,audio_features,3UJS9aEUbtYO8kMl1IK1r3,spotify:track:3UJS9aEUbtYO8kMl1IK1r3,https://api.spotify.com/v1/tracks/3UJS9aEUbtYO8kMl1IK1r3,https://api.spotify.com/v1/audio-analysis/3UJS9aEUbtYO8kMl1IK1r3,237157,4,Healy,Reckless,Subluxe,69
26,0.415,0.456,0,-7.315,1,0.106,0.934,0.0,0.49,0.72,181.452,audio_features,5lCtzEEl2FxySHX4zR9yEf,spotify:track:5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/tracks/5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/audio-analysis/5lCtzEEl2FxySHX4zR9yEf,100750,3,Grady,kissing girls,a place we can always go.,53
