,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
0,0.406,0.737,7,-7.92,1,0.0526,0.0571,0.000858,0.343,0.27,81.069,audio_features,303ooECseKUBtjuUYsftfX,spotify:track:303ooECseKUBtjuUYsftfX,https://api.spotify.com/v1/tracks/303ooECseKUBtjuUYsftfX,https://api.spotify.com/v1/audio-analysis/303ooECseKUBtjuUYsftfX,446000,4,Half Moon Run,Razorblade,A Blemish in the Great Light,30
1,0.63,0.677,1,-6.696,0,0.0301,0.0562,0.000113,0.331,0.411,130.907,audio_features,0GlbPGqUoplKvWQEQM6FIb,spotify:track:0GlbPGqUoplKvWQEQM6FIb,https://api.spotify.com/v1/tracks/0GlbPGqUoplKvWQEQM6FIb,https://api.spotify.com/v1/audio-analysis/0GlbPGqUoplKvWQEQM6FIb,223400,4,Half Moon Run,Natural Disaster,A Blemish in the Great Light,33
2,0.565,0.724,0,-5.5,1,0.0307,0.000566,1.01e-05,0.0807,0.818,132.937,audio_features,0Ul1RreKyIV2WQhKVK6dpo,spotify:track:0Ul1RreKyIV2WQhKVK6dpo,https://api.spotify.com/v1/tracks/0Ul1RreKyIV2WQhKVK6dpo,https://api.spotify.com/v1/audio-analysis/0Ul1RreKyIV2WQhKVK6dpo,242253,4,Half Moon Run,Favourite Boy,A Blemish in the Great Light,43
3,0.497,0.638,0,-6.564,1,0.0316,0.394,0.00249,0.133,0.569,82.285,audio_features,0OoODSk0hu4WWmi3yKbRP3,spotify:track:0OoODSk0hu4WWmi3yKbRP3,https://api.spotify.com/v1/tracks/0OoODSk0hu4WWmi3yKbRP3,https://api.spotify.com/v1/audio-analysis/0OoODSk0hu4WWmi3yKbRP3,339360,4,Dispatch,Midnight Lorry,"America, Location 12",56
4,0.541,0.616,0,-6.53,1,0.028,0.00114,1.09e-06,0.151,0.203,144.218,audio_features,0i5QVxsK3IvEDbUjTA64Li,spotify:track:0i5QVxsK3IvEDbUjTA64Li,https://api.spotify.com/v1/tracks/0i5QVxsK3IvEDbUjTA64Li,https://api.spotify.com/v1/audio-analysis/0i5QVxsK3IvEDbUjTA64Li,198600,4,Mt. Joy,Silver Lining,Mt. Joy,67
5,0.886,0.371,5,-10.542,1,0.0465,0.349,0.00138,0.0985,0.928,115.026,audio_features,6PuoZT4kgw5DrUEdnQ6e01,spotify:track:6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/tracks/6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/audio-analysis/6PuoZT4kgw5DrUEdnQ6e01,219261,4,Sure Sure,This Must Be The Place,Sure Sure,64
6,0.731,0.487,7,-6.64,1,0.053,0.0418,0.0,0.155,0.442,81.023,audio_features,53CaeX1tept7dHdjP8hueT,spotify:track:53CaeX1tept7dHdjP8hueT,https://api.spotify.com/v1/tracks/53CaeX1tept7dHdjP8hueT,https://api.spotify.com/v1/audio-analysis/53CaeX1tept7dHdjP8hueT,224573,4,Joe Brooks,Someday (OK),A Reason to Swim (Deluxe Version),34
7,0.356,0.709,0,-4.684,1,0.0507,0.523,0.0,0.201,0.532,167.155,audio_features,6UqjaI4yIo2uA0kA6ej8ui,spotify:track:6UqjaI4yIo2uA0kA6ej8ui,https://api.spotify.com/v1/tracks/6UqjaI4yIo2uA0kA6ej8ui,https://api.spotify.com/v1/audio-analysis/6UqjaI4yIo2uA0kA6ej8ui,273183,4,Twiddle,Lost in the Cold,Plump (Chapters 1 & 2),53
8,0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,audio_features,2kG5litgxXvx6ZRgwO1v7W,spotify:track:2kG5litgxXvx6ZRgwO1v7W,https://api.spotify.com/v1/tracks/2kG5litgxXvx6ZRgwO1v7W,https://api.spotify.com/v1/audio-analysis/2kG5litgxXvx6ZRgwO1v7W,239880,4,Houndmouth,Sedona,Little Neon Limelight,68
9,0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,audio_features,41yIvlFgvGwxq8qTqAR7eG,spotify:track:41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080,4,The Paper Kites,Bloom - Bonus Track,Woodland - EP,74
