,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
0,0.764,0.829,1,-5.261,1,0.0711,0.0459,0.000184,0.104,0.606,98.02,audio_features,0hIGUS1PQbv5NIrHIf6Fza,spotify:track:0hIGUS1PQbv5NIrHIf6Fza,https://api.spotify.com/v1/tracks/0hIGUS1PQbv5NIrHIf6Fza,https://api.spotify.com/v1/audio-analysis/0hIGUS1PQbv5NIrHIf6Fza,308569,4,The Kooks,Sweet Emotion,Listen,57
1,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,audio_features,1170VohRSx6GwE6QDCHPPH,spotify:track:1170VohRSx6GwE6QDCHPPH,https://api.spotify.com/v1/tracks/1170VohRSx6GwE6QDCHPPH,https://api.spotify.com/v1/audio-analysis/1170VohRSx6GwE6QDCHPPH,282206,4,The Backseat Lovers,Kilby Girl,When We Were Friends,70
2,0.713,0.565,7,-7.8,0,0.0351,0.0252,3.2e-06,0.633,0.705,130.047,audio_features,3DCU0R5FFaB9GKxZERb5wr,spotify:track:3DCU0R5FFaB9GKxZERb5wr,https://api.spotify.com/v1/tracks/3DCU0R5FFaB9GKxZERb5wr,https://api.spotify.com/v1/audio-analysis/3DCU0R5FFaB9GKxZERb5wr,208981,4,Lime Cordiale,Temper Temper,Permanent Vacation,61
3,0.718,0.603,3,-6.278,1,0.0258,0.326,0.0,0.0781,0.474,108.074,audio_features,7xeJKKmWX8PT0N5jZccbVD,spotify:track:7xeJKKmWX8PT0N5jZccbVD,https://api.spotify.com/v1/tracks/7xeJKKmWX8PT0N5jZccbVD,https://api.spotify.com/v1/audio-analysis/7xeJKKmWX8PT0N5jZccbVD,177467,4,Shag Rock,Sunbleached Girl,Barefoot,58
4,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,audio_features,0z1b34WikhOH9ZxU8QDWcv,spotify:track:0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/tracks/0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/audio-analysis/0z1b34WikhOH9ZxU8QDWcv,312627,4,The Wallflowers,One Headlight,Bringing Down The Horse,71
5,0.591,0.354,7,-11.171,1,0.0303,0.0459,0.000127,0.0513,0.334,133.995,audio_features,6Kpf6FndBITOaLHVuVbWmj,spotify:track:6Kpf6FndBITOaLHVuVbWmj,https://api.spotify.com/v1/tracks/6Kpf6FndBITOaLHVuVbWmj,https://api.spotify.com/v1/audio-analysis/6Kpf6FndBITOaLHVuVbWmj,269412,4,The Backseat Lovers,Pool House,When We Were Friends,18
6,0.782,0.49,11,-5.92,1,0.0352,0.398,0.118,0.286,0.787,114.005,audio_features,3Ebf3n6GX9i8OLig5lNXtL,spotify:track:3Ebf3n6GX9i8OLig5lNXtL,https://api.spotify.com/v1/tracks/3Ebf3n6GX9i8OLig5lNXtL,https://api.spotify.com/v1/audio-analysis/3Ebf3n6GX9i8OLig5lNXtL,202826,4,No Suits,Sue,Sue,44
7,0.779,0.516,10,-6.467,0,0.0521,0.148,0.0,0.0492,0.715,120.026,audio_features,48XkVAagIoQHCsOlJtXUd5,spotify:track:48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/tracks/48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/audio-analysis/48XkVAagIoQHCsOlJtXUd5,247787,4,half•alive,still feel.,"Now, Not Yet",69
8,0.65,0.528,4,-5.642,0,0.0288,0.00927,0.000419,0.111,0.595,96.967,audio_features,5saMo1BtSHW111VrurVHe8,spotify:track:5saMo1BtSHW111VrurVHe8,https://api.spotify.com/v1/tracks/5saMo1BtSHW111VrurVHe8,https://api.spotify.com/v1/audio-analysis/5saMo1BtSHW111VrurVHe8,187720,4,Two Door Cinema Club,Sun,Beacon,59
9,0.547,0.816,8,-6.165,0,0.0624,0.0688,0.0,0.127,0.722,102.765,audio_features,2RUhtNBh43RtSg0WBPPq3m,spotify:track:2RUhtNBh43RtSg0WBPPq3m,https://api.spotify.com/v1/tracks/2RUhtNBh43RtSg0WBPPq3m,https://api.spotify.com/v1/audio-analysis/2RUhtNBh43RtSg0WBPPq3m,203507,4,The Kooks,Naive,Inside In / Inside Out,61
10,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,audio_features,4Sfa7hdVkqlM8UW5LsSY3F,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,https://api.spotify.com/v1/tracks/4Sfa7hdVkqlM8UW5LsSY3F,https://api.spotify.com/v1/audio-analysis/4Sfa7hdVkqlM8UW5LsSY3F,264493,4,Passion Pit,Take a Walk,Gossamer,70
11,0.472,0.69,9,-8.092,0,0.0443,0.0219,0.0,0.0992,0.512,77.478,audio_features,0O0M44llUQuPdJAkROQRch,spotify:track:0O0M44llUQuPdJAkROQRch,https://api.spotify.com/v1/tracks/0O0M44llUQuPdJAkROQRch,https://api.spotify.com/v1/audio-analysis/0O0M44llUQuPdJAkROQRch,219027,4,Sticky Fingers,Australia Street,Caress Your Soul,65
12,0.699,0.481,9,-10.247,0,0.0352,0.227,0.00442,0.0938,0.749,146.665,audio_features,4BMvHFaQSE9WvzJyr8v0wx,spotify:track:4BMvHFaQSE9WvzJyr8v0wx,https://api.spotify.com/v1/tracks/4BMvHFaQSE9WvzJyr8v0wx,https://api.spotify.com/v1/audio-analysis/4BMvHFaQSE9WvzJyr8v0wx,254465,4,Mako Road,The Sun Comes Up,The Sun Comes Up,59
