,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
0,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,audio_features,2GiJYvgVaD2HtM8GqD9EgQ,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/tracks/2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107,4,BØRNS,Electric Love,Dopamine,87
1,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,Tame Impala,The Less I Know The Better,Currents,85
2,0.653,0.711,9,-6.454,1,0.0623,0.109,0.0,0.443,0.769,160.048,audio_features,2kzRSiyignH8yzPTrWvyPo,spotify:track:2kzRSiyignH8yzPTrWvyPo,https://api.spotify.com/v1/tracks/2kzRSiyignH8yzPTrWvyPo,https://api.spotify.com/v1/audio-analysis/2kzRSiyignH8yzPTrWvyPo,191320,4,Wiz Khalifa,No Sleep,Rolling Papers,66
3,0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,audio_features,2idmlkd8oUaQvYEtINpLBX,spotify:track:2idmlkd8oUaQvYEtINpLBX,https://api.spotify.com/v1/tracks/2idmlkd8oUaQvYEtINpLBX,https://api.spotify.com/v1/audio-analysis/2idmlkd8oUaQvYEtINpLBX,383547,4,Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,Heads Will Roll,63
4,0.672,0.762,8,-5.373,1,0.25,0.404,2.48e-06,0.146,0.704,77.051,audio_features,5PQhQUcdaUJy6t39LdOOX7,spotify:track:5PQhQUcdaUJy6t39LdOOX7,https://api.spotify.com/v1/tracks/5PQhQUcdaUJy6t39LdOOX7,https://api.spotify.com/v1/audio-analysis/5PQhQUcdaUJy6t39LdOOX7,113764,4,Grady,500 Days of Summer,500 Days of Summer,53
5,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4,Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),81
6,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4,Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),81
7,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,audio_features,3ZOEytgrvLwQaqXreDs2Jx,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/audio-analysis/3ZOEytgrvLwQaqXreDs2Jx,269000,4,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),80
8,0.65,0.493,11,-12.159,0,0.0473,0.0145,5.66e-05,0.104,0.831,177.503,audio_features,3xkG5WXCnSYxastDq3pmKn,spotify:track:3xkG5WXCnSYxastDq3pmKn,https://api.spotify.com/v1/tracks/3xkG5WXCnSYxastDq3pmKn,https://api.spotify.com/v1/audio-analysis/3xkG5WXCnSYxastDq3pmKn,270605,4,Daryl Hall & John Oates,Maneater,The Very Best of Daryl Hall / John Oates,37
9,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295533,4,4 Non Blondes,What's Up?,"Bigger, Better, Faster, More !",78
10,0.757,0.367,5,-5.759,0,0.0354,0.736,0.0,0.157,0.681,96.008,audio_features,6CQaVuICm1WVXyy3SZ5jEI,spotify:track:6CQaVuICm1WVXyy3SZ5jEI,https://api.spotify.com/v1/tracks/6CQaVuICm1WVXyy3SZ5jEI,https://api.spotify.com/v1/audio-analysis/6CQaVuICm1WVXyy3SZ5jEI,233733,4,Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: B-Sides,65
11,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,audio_features,7MRyJPksH3G2cXHN8UKYzP,spotify:track:7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP,https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP,214733,4,Tom Petty and the Heartbreakers,American Girl,Tom Petty & The Heartbreakers,74
12,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,audio_features,2BY7ALEWdloFHgQZG6VMLA,spotify:track:2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/audio-analysis/2BY7ALEWdloFHgQZG6VMLA,186827,4,Looking Glass,Brandy (You're a Fine Girl),Looking Glass,74
13,0.537,0.355,0,-11.241,1,0.0363,0.357,0.0,0.132,0.39,113.994,audio_features,6rG4bDP9eK16QTtVQKw9zZ,spotify:track:6rG4bDP9eK16QTtVQKw9zZ,https://api.spotify.com/v1/tracks/6rG4bDP9eK16QTtVQKw9zZ,https://api.spotify.com/v1/audio-analysis/6rG4bDP9eK16QTtVQKw9zZ,214573,4,David Bowie,Changes - 1999 Remaster,Best of Bowie,40
